Date,Price
2021-01-04,13726.740234375
2021-01-05,13651.2197265625
2021-01-06,13891.9697265625
2021-01-07,13968.240234375
2021-01-08,14049.5302734375
2021-01-11,13936.66015625
2021-01-12,13925.0595703125
2021-01-13,13939.7099609375
2021-01-14,13988.7001953125
2021-01-15,13787.73046875
2021-01-18,13848.349609375
2021-01-19,13815.0595703125
2021-01-20,13921.3701171875
2021-01-21,13906.669921875
2021-01-22,13873.9697265625
2021-01-25,13643.9501953125
2021-01-26,13870.990234375
2021-01-27,13620.4599609375
2021-01-28,13665.9296875
2021-01-29,13432.8701171875
2021-02-01,13622.01953125
2021-02-02,13835.16015625
2021-02-03,13933.6298828125
2021-02-04,14060.2900390625
2021-02-05,14056.7197265625
2021-02-08,14059.91015625
2021-02-09,14011.7998046875
2021-02-10,13932.9697265625
2021-02-11,14040.91015625
2021-02-12,14049.8896484375
2021-02-15,14109.48046875
2021-02-16,14064.599609375
2021-02-17,13909.26953125
2021-02-18,13886.9296875
2021-02-19,13993.23046875
2021-02-22,13950.0400390625
2021-02-23,13864.8095703125
2021-02-24,13976.0
2021-02-25,13879.330078125
2021-02-26,13786.2900390625
2021-03-01,14012.8203125
2021-03-02,14039.7998046875
2021-03-03,14080.0302734375
2021-03-04,14056.33984375
2021-03-05,13920.6904296875
2021-03-08,14380.91015625
2021-03-09,14437.9404296875
2021-03-10,14540.25
2021-03-11,14569.3896484375
2021-03-12,14502.3896484375
2021-03-15,14461.419921875
2021-03-16,14557.580078125
2021-03-17,14596.6103515625
2021-03-18,14775.51953125
2021-03-19,14621.0
2021-03-22,14657.2099609375
2021-03-23,14662.01953125
2021-03-24,14610.3896484375
2021-03-25,14621.3603515625
2021-03-26,14748.9404296875
2021-03-29,14817.7197265625
2021-03-30,15008.6103515625
2021-03-31,15008.33984375
2021-04-01,15107.169921875
2021-04-06,15212.6796875
2021-04-07,15176.3603515625
2021-04-08,15202.6796875
2021-04-09,15234.16015625
2021-04-12,15215.0
2021-04-13,15234.3603515625
2021-04-14,15209.150390625
2021-04-15,15255.330078125
2021-04-16,15459.75
2021-04-19,15368.3896484375
2021-04-20,15129.509765625
2021-04-21,15195.9697265625
2021-04-22,15320.51953125
2021-04-23,15279.6201171875
2021-04-26,15296.33984375
2021-04-27,15249.26953125
2021-04-28,15292.1796875
2021-04-29,15154.2001953125
2021-04-30,15135.91015625
2021-05-03,15236.4697265625
2021-05-04,14856.48046875
2021-05-05,15170.7802734375
2021-05-06,15196.740234375
2021-05-07,15399.650390625
2021-05-10,15400.41015625
2021-05-11,15119.75
2021-05-12,15150.2197265625
2021-05-13,15199.6796875
2021-05-14,15416.6396484375
2021-05-17,15396.6201171875
2021-05-18,15386.580078125
2021-05-19,15113.5595703125
2021-05-20,15370.259765625
2021-05-21,15437.509765625
2021-05-25,15465.08984375
2021-05-26,15450.7197265625
2021-05-27,15406.73046875
2021-05-28,15519.98046875
2021-05-31,15421.1298828125
2021-06-01,15567.3603515625
2021-06-02,15602.7099609375
2021-06-03,15632.669921875
2021-06-04,15692.900390625
2021-06-07,15677.150390625
2021-06-08,15640.599609375
2021-06-09,15581.1396484375
2021-06-10,15571.2197265625
2021-06-11,15693.26953125
2021-06-14,15673.6396484375
2021-06-15,15729.51953125
2021-06-16,15710.5703125
2021-06-17,15727.669921875
2021-06-18,15448.0400390625
2021-06-21,15603.240234375
2021-06-22,15636.330078125
2021-06-23,15456.3896484375
2021-06-24,15589.23046875
2021-06-25,15607.9697265625
2021-06-28,15554.1796875
2021-06-29,15690.58984375
2021-06-30,15531.0400390625
2021-07-01,15603.8095703125
2021-07-02,15650.08984375
2021-07-05,15661.9697265625
2021-07-06,15511.3798828125
2021-07-07,15692.7099609375
2021-07-08,15420.6396484375
2021-07-09,15687.9296875
2021-07-12,15790.509765625
2021-07-13,15789.6396484375
2021-07-14,15788.98046875
2021-07-15,15629.66015625
2021-07-16,15540.3095703125
2021-07-19,15133.2001953125
2021-07-20,15216.26953125
2021-07-21,15422.5
2021-07-22,15514.5400390625
