date,index_name,ticker,data_source,close_level
2021-01-04,FTSE_100,^FTSE,Yahoo Finance,6571.89990234375
2021-01-05,FTSE_100,^FTSE,Yahoo Finance,6612.2998046875
2021-01-06,FTSE_100,^FTSE,Yahoo Finance,6841.89990234375
2021-01-07,FTSE_100,^FTSE,Yahoo Finance,6857.0
2021-01-08,FTSE_100,^FTSE,Yahoo Finance,6873.2998046875
2021-01-11,FTSE_100,^FTSE,Yahoo Finance,6798.5
2021-01-12,FTSE_100,^FTSE,Yahoo Finance,6754.10009765625
2021-01-13,FTSE_100,^FTSE,Yahoo Finance,6745.5
2021-01-14,FTSE_100,^FTSE,Yahoo Finance,6802.0
2021-01-15,FTSE_100,^FTSE,Yahoo Finance,6735.7001953125
2021-01-18,FTSE_100,^FTSE,Yahoo Finance,6720.7001953125
2021-01-19,FTSE_100,^FTSE,Yahoo Finance,6713.0
2021-01-20,FTSE_100,^FTSE,Yahoo Finance,6740.39990234375
2021-01-21,FTSE_100,^FTSE,Yahoo Finance,6715.39990234375
2021-01-22,FTSE_100,^FTSE,Yahoo Finance,6695.10009765625
2021-01-25,FTSE_100,^FTSE,Yahoo Finance,6638.89990234375
2021-01-26,FTSE_100,^FTSE,Yahoo Finance,6654.0
2021-01-27,FTSE_100,^FTSE,Yahoo Finance,6567.39990234375
2021-01-28,FTSE_100,^FTSE,Yahoo Finance,6526.2001953125
2021-01-29,FTSE_100,^FTSE,Yahoo Finance,6407.5
2021-02-01,FTSE_100,^FTSE,Yahoo Finance,6466.39990234375
2021-02-02,FTSE_100,^FTSE,Yahoo Finance,6516.7001953125
2021-02-03,FTSE_100,^FTSE,Yahoo Finance,6507.7998046875
2021-02-04,FTSE_100,^FTSE,Yahoo Finance,6503.7001953125
2021-02-05,FTSE_100,^FTSE,Yahoo Finance,6489.2998046875
2021-02-08,FTSE_100,^FTSE,Yahoo Finance,6523.5
2021-02-09,FTSE_100,^FTSE,Yahoo Finance,6531.60009765625
2021-02-10,FTSE_100,^FTSE,Yahoo Finance,6524.39990234375
2021-02-11,FTSE_100,^FTSE,Yahoo Finance,6528.7001953125
2021-02-12,FTSE_100,^FTSE,Yahoo Finance,6589.7998046875
2021-02-15,FTSE_100,^FTSE,Yahoo Finance,6756.10009765625
2021-02-16,FTSE_100,^FTSE,Yahoo Finance,6748.89990234375
2021-02-17,FTSE_100,^FTSE,Yahoo Finance,6710.89990234375
2021-02-18,FTSE_100,^FTSE,Yahoo Finance,6617.2001953125
2021-02-19,FTSE_100,^FTSE,Yahoo Finance,6624.0
2021-02-22,FTSE_100,^FTSE,Yahoo Finance,6612.2001953125
2021-02-23,FTSE_100,^FTSE,Yahoo Finance,6625.89990234375
2021-02-24,FTSE_100,^FTSE,Yahoo Finance,6659.0
2021-02-25,FTSE_100,^FTSE,Yahoo Finance,6652.0
2021-02-26,FTSE_100,^FTSE,Yahoo Finance,6483.39990234375
2021-03-01,FTSE_100,^FTSE,Yahoo Finance,6588.5
2021-03-02,FTSE_100,^FTSE,Yahoo Finance,6613.7998046875
2021-03-03,FTSE_100,^FTSE,Yahoo Finance,6675.5
2021-03-04,FTSE_100,^FTSE,Yahoo Finance,6650.89990234375
2021-03-05,FTSE_100,^FTSE,Yahoo Finance,6630.5
2021-03-08,FTSE_100,^FTSE,Yahoo Finance,6719.10009765625
2021-03-09,FTSE_100,^FTSE,Yahoo Finance,6730.2998046875
2021-03-10,FTSE_100,^FTSE,Yahoo Finance,6725.60009765625
2021-03-11,FTSE_100,^FTSE,Yahoo Finance,6737.0
2021-03-12,FTSE_100,^FTSE,Yahoo Finance,6761.5
2021-03-15,FTSE_100,^FTSE,Yahoo Finance,6749.7001953125
2021-03-16,FTSE_100,^FTSE,Yahoo Finance,6803.60009765625
2021-03-17,FTSE_100,^FTSE,Yahoo Finance,6762.7001953125
2021-03-18,FTSE_100,^FTSE,Yahoo Finance,6779.7001953125
2021-03-19,FTSE_100,^FTSE,Yahoo Finance,6708.7001953125
2021-03-22,FTSE_100,^FTSE,Yahoo Finance,6726.10009765625
2021-03-23,FTSE_100,^FTSE,Yahoo Finance,6699.2001953125
2021-03-24,FTSE_100,^FTSE,Yahoo Finance,6712.89990234375
2021-03-25,FTSE_100,^FTSE,Yahoo Finance,6674.7998046875
2021-03-26,FTSE_100,^FTSE,Yahoo Finance,6740.60009765625
2021-03-29,FTSE_100,^FTSE,Yahoo Finance,6736.2001953125
2021-03-30,FTSE_100,^FTSE,Yahoo Finance,6772.10009765625
