term,statistic,EURO STOXX 50,DAX,CAC 40,FTSE 100,WIG20,note
sentiment_lag1,coefficient,-0.008802326530155368,-0.01160379968180187,-0.013180859299880483,-0.010544970081450031,0.007913038861142151,
sentiment_lag1,HAC standard error,0.03034217605404698,0.02413789545246323,0.02193889564701715,0.021448069471592435,0.013885200502884,
attention_lag1,coefficient,0.007153485215131736,0.0065134365636405804,0.006280553017332331,0.004497658977782894,0.008043052879178085,
attention_lag1,HAC standard error,0.0019214109320789454,0.001992169810322159,0.0016793747701885965,0.0026323881269113224,0.004219323256051884,
volatility_lag1,coefficient,0.8867656145231536,0.9022716643450849,0.8979868988711439,0.8269917820817088,0.9131362069138776,
volatility_lag1,HAC standard error,0.01954988911547314,0.01834718703872229,0.020034152859013027,0.0313839427957886,0.026452738542301787,
return_lag1,coefficient,-1.7642384850270336,-1.4582921731409666,-1.4850320262790404,-3.9682763517185373,-0.9598098705451912,
return_lag1,HAC standard error,1.8787872446697562,2.1085222265843666,1.5291676206562705,1.5082464927965358,0.6965437882873303,
constant,coefficient,0.10758658592524314,0.08327690475094122,0.0897459547287026,0.13967498935642547,0.10598914946852536,
constant,HAC standard error,0.020953665244314836,0.01877552188661263,0.019250969719481335,0.02269984072768678,0.030183245147793927,
model,N,401.0,406.0,407.0,397.0,402.0,
model,R-squared,0.8783454659638347,0.9037154925218944,0.9062816700367673,0.787544015038296,0.9610508069230096,
model,HAC maximum lag,5.0,5.0,5.0,5.0,5.0,OLS with HAC/Newey-West standard errors; maximum lag = 5.
