index_name,year,n,share_of_market_regression_sample
EURO_STOXX_50,2021,60,0.14962593516209477
EURO_STOXX_50,2022,222,0.55361596009975067
EURO_STOXX_50,2023,119,0.29675810473815462
DAX,2021,60,0.14778325123152711
DAX,2022,225,0.55418719211822665
DAX,2023,121,0.29802955665024633
CAC_40,2021,60,0.14742014742014742
CAC_40,2022,226,0.55528255528255532
CAC_40,2023,121,0.29729729729729731
FTSE_100,2021,59,0.1486146095717884
FTSE_100,2022,220,0.55415617128463479
FTSE_100,2023,118,0.29722921914357681
WIG20,2021,60,0.14925373134328357
WIG20,2022,222,0.55223880597014929
WIG20,2023,120,0.29850746268656714
