index_name,year,finite_volatility_rows,rows_with_sentiment_lag1,regression_eligible_rows,retention_rate
EURO_STOXX_50,2021,253,61,60,0.23715415019762845
EURO_STOXX_50,2022,254,222,222,0.8740157480314961
EURO_STOXX_50,2023,251,119,119,0.47410358565737054
DAX,2021,254,61,60,0.23622047244094488
DAX,2022,257,225,225,0.8754863813229572
DAX,2023,255,121,121,0.4745098039215686
CAC_40,2021,257,61,60,0.23346303501945526
CAC_40,2022,257,226,226,0.8793774319066148
CAC_40,2023,255,121,121,0.4745098039215686
FTSE_100,2021,252,60,59,0.23412698412698413
FTSE_100,2022,250,220,220,0.88
FTSE_100,2023,251,118,118,0.4701195219123506
WIG20,2021,250,61,60,0.24
WIG20,2022,251,222,222,0.8844621513944223
WIG20,2023,250,120,120,0.48
